University Name,Compound,Positive,Negative
uofmn,2.3223925,1.2816150000000002,0.9756450000000001
rit,1.9415620000000005,0.89011,0.484415
ucsc,1.7825884999999992,1.03654,0.38358500000000006
VirginiaTech,4.978180999999999,2.1573499999999997,0.392485
uofm,2.667360999999999,0.9680199999999999,0.34784
Purdue,1.2037385,0.9667099999999998,0.8290299999999999
uwaterloo,1.6788725,0.869575,0.25409499999999996
udub,0.9273180000000001,1.2801500000000001,1.3501149999999997
IndianaUniversity,2.706863698630138,1.0551164383561642,0.27897260273972607
UMD,1.4552764999999996,1.1141550000000002,0.43
fsu,2.394094000000001,1.08885,0.22669500000000004
aggies,3.7106725000000003,1.6739000000000002,0.632535
UWMadison,3.2524464999999987,3.1612199999999993,1.670505
Pitt,1.9293865000000003,0.9057099999999999,0.40193
mcgill,2.5793524999999997,1.213065,0.9388550000000001
CalPoly,1.1600269999999995,1.55302,1.2984400000000003
gatech,0.2610569999999999,1.66389,0.81891
LSU,3.115426666666667,1.8060833333333333,1.5936250000000003
UofT,-0.32063649999999927,0.710365,0.64937
ucla,1.9570765000000003,1.10773,0.5352450000000001
ncsu,1.7273295000000002,0.9491149999999999,0.37702
UIUC,2.993224500000001,1.14847,0.43643
nyu,4.1632055,1.59478,0.84501
UVA,4.627131481481482,1.176351851851852,0.23746296296296293
UCSantaBarbara,1.7444190000000002,0.8656,0.411195
berkeley,5.360986999999999,1.95426,1.2048200000000002
NEU,1.618251,0.87219,0.731845
osu,2.6088285,1.2960200000000002,0.56791
UCONN,1.6976980000000004,0.6590500000000002,0.15652499999999997
ucf,1.477243,0.9207749999999997,0.45346999999999993
UGA,2.5498285000000003,1.308995,0.504425
UFL,1.648482,1.0191350000000003,0.277385
PennStateUniversity,2.3335525,0.963495,0.20382500000000006
UTAustin,1.8520034999999997,1.23203,0.694945
RPI,2.3486165,0.8822449999999997,0.4535700000000001
UniversityOfHouston,2.731217,1.06969,0.3934
msu,2.2351164999999993,0.980695,0.39028
asu,2.2106745,0.8817799999999999,0.24482499999999996
rutgers,1.267779,0.7870349999999998,0.610285
ucsd,2.3083050000000007,0.9062349999999999,0.30911
UBC,1.6570510000000007,1.5030650000000003,1.7391
MIT,4.291145833333332,1.0677916666666665,0.29318055555555556
ucdavis,2.7155515,1.1242249999999998,0.6019800000000001
USC,1.6333920000000004,0.7690299999999999,0.6494749999999999
