University Name,Compound,Positive,Negative
uofmn,3.5346860000000007,3.599759999999999,1.4891150000000002
rit,3.0532295,2.3672899999999992,1.2989
ucsc,3.7479605000000005,2.45984,1.2369700000000001
VirginiaTech,6.32703,3.9674749999999994,1.8326950000000002
uofm,2.8591584999999986,2.8093700000000004,1.22168
Purdue,1.3343715000000005,2.5239449999999994,2.2856
uwaterloo,1.4871840000000012,2.067195,2.5486350000000004
udub,5.612513999999999,3.5006950000000003,1.1574749999999998
IndianaUniversity,3.9548700000000014,2.3426,0.35261
UMD,3.335966000000001,3.635915,1.51032
fsu,1.7328035000000002,1.38787,0.459195
aggies,2.379865000000001,3.9804499999999994,3.1498299999999997
UWMadison,4.358281000000002,2.7622500000000008,0.9626199999999999
Pitt,3.3008580000000003,2.3674600000000003,1.2143449999999998
mcgill,3.6414659999999994,2.0269950000000003,0.93321
CalPoly,6.441502,2.8728050000000005,0.6592800000000001
gatech,8.194855500000003,4.447555,1.6008549999999997
LSU,3.1272965000000004,1.4256000000000002,0.53272
UofT,6.591100000000001,2.6666549999999996,1.9670749999999995
ucla,3.360271,1.96251,0.845655
ncsu,2.8686729999999994,2.6231200000000006,1.708065
UIUC,4.582203000000001,3.5696849999999998,2.32601
nyu,2.3180089999999995,1.302685,0.48458
UVA,3.2929060000000003,1.23772,0.55974
UCSantaBarbara,1.7512119999999995,1.6727850000000002,1.09586
berkeley,3.365537,3.3801650000000003,2.1354699999999998
NEU,3.17271,2.05892,1.0679599999999998
osu,4.0728075,3.5754699999999993,1.905375
UCONN,0.4463665,0.97607,0.94637
ucf,1.0768649999999995,2.0481750000000005,1.3021049999999996
UGA,0.9180965000000004,1.64849,1.096975
UFL,1.5963325,1.294315,0.69221
PennStateUniversity,2.8890354999999994,2.1750499999999997,0.84419
UTAustin,5.197506499999999,3.646455,1.1898850000000003
RPI,5.168930499999998,3.1496049999999993,1.2445
UniversityOfHouston,2.0726445,1.7937000000000003,0.9143949999999998
msu,3.4504245000000004,2.97912,0.7378500000000001
asu,3.4408955000000003,2.036314999999999,0.5510400000000001
rutgers,-1.960657500000001,1.8163099999999996,1.64988
ucsd,1.4282364999999997,1.4950350000000001,1.02232
UBC,-0.7719695000000001,3.5304649999999995,3.8848149999999997
MIT,3.746089,1.5122749999999998,0.8773549999999999
ucdavis,1.7391254999999997,3.004925,1.9711150000000002
USC,2.5654315,1.4230149999999995,0.604695
